a	một cái, một con 
unwisely	bất cẩn
unwisest	không cẩn thận
unwitting	không cố ý
unwittingly	vô tình
unwontedly	không tự nguyện
unworkability	không thể làm việc
unworkable	không thể làm việc được
unworldly	không có thế giới
unworn	không mặc quần áo
unworried	không lo lắng
unworthily	không xứng đáng
unworthiness	không xứng đáng
unworthy	không xứng đáng
unwound	không ràng buộc
unwounded	không bị ràng buộc
unwrap	mở ra
unwrapped	không bọc
unwrapping	mở ra
unwraps	mở ra
unwritten	bất thành văn
unyielding	kiên cường
unzip	giải nén
unzipped	giải nén
unzipping	giải nén
unzips	giải nén
up	hướng lên
upbeat	lạc quan
upbraid	upbraid
upbraided	nâng lên
upbraiding	nâng đỡ
upbraids	sự nâng đỡ
upbringing	Nuôi dưỡng
upbringings	sự nuôi dạy
upcast	u ám
upcoming	sắp tới
updatability	khả năng cập nhật
update	cập nhật
updated	cập nhật
updater	người cập nhật
updates	cập nhật
updating	đang cập nhật
upended	không giám sát
upfield	upfield
upfront	trả trước
upgradable	có thể nâng cấp
upgrade	nâng cấp
upgradeable	có thể nâng cấp
upgraded	nâng cấp
upgrades	nâng cấp
upgrading	nâng cấp
upgradings	nâng cấp
upheaval	biến động
upheavals	biến động
upheld	đề cao
uphill	lên dốc
uphold	đề cao
upholder	nâng đỡ
upholders	người ủng hộ
upholding	đề cao
upholds	đề cao
upholster	vải bọc
upholstered	bọc lại
upholsterer	người bọc ghế
upholsterers	người bọc ghế
upholstery	vải bọc
upkeep	bảo dưỡng
upland	vùng cao
uplands	vùng cao
uplift	nâng cao
uplifted	thăng hoa
uplifting	nâng cao tinh thần
uplifts	sự thăng hoa
uplink	đường lên
uplinks	liên kết lên
upload	tải lên
uploaded	đã tải lên
uploads	tải lên
upmarket	hạng sang
upmost	cao nhất
upon	trên
upped	nâng lên
upper	phía trên
uppercase	chữ hoa
upperclass	lớp trên
uppercut	cắt trên
uppermost	trên cùng
uppers	Người ủng hộ
upraised	nâng cao
uprate	nâng cao
uprated	đánh giá cao
uprating	nâng lên
upright	thẳng đứng
uprightly	ngay thẳng
uprightness	ngay thẳng
uprights	ngay thẳng
uprise	dậy lên
uprising	cuộc nổi dậy
uprisings	các cuộc nổi dậy
upriver	nâng cao
uproar	náo động
uproarious	náo nhiệt
uproariously	náo nhiệt
uproars	náo động
uproo	uproo
uproot	nhổ
uprooted	nhổ
uprooting	nhổ
uproots	cơ sở
ups	up
upset	khó chịu
upsets	đảo lộn
upsetting	khó chịu
upshot	nâng lên
upside	lộn ngược
upsidedown	lộn ngược
upsilon	upsilon
upstage	đi lên
upstaged	nâng lên
upstages	tầng trên
upstaging	đi lên
upstairs	tầng trên
upstanding	vượt trội
upstart	mới nổi
upstarts	những người mới nổi
upstream	Thượng nguồn
upsurge	thăng trầm
upsurges	thăng trầm
upswing	nâng lên
uptake	hấp thu
upthrust	lòng tin
uptotheminute	uptotheminute
uptown	trong khu
upturn	đi lên
upturned	hếch lên
upward	hướng lên
upwardly	hướng lên
upwards	trở lên
upwind	gió ngược
uranium	uranium
uranus	Sao Thiên Vương
urban	đô thị
urbane	urbane
urbanely	khẩn cấp
urbanisation	đô thị hóa
urbanise	thành thị
urbanised	đô thị hóa
urbanising	thành thị
urbanites	thành thị
urbanity	sự ngu xuẩn
urchin	nhím
urchins	nhiều con nhím
urea	urê
ureter	niệu quản
ureters	niệu quản
urethane	urethane
urethra	niệu đạo
urethrae	niệu đạo
urethral	niệu đạo
urethras	niệu đạo
urethritis	viêm niệu đạo
urge	thúc giục
urged	thúc giục
urgency	khẩn cấp
urgent	cấp bách
urgently	khẩn trương
urges	thúc giục
urging	thúc giục
urgings	khẩn cấp
urinary	tiết niệu
urine	nước tiểu
urn	bình
urns	bình
urologist	nhà tiết niệu học
ursine	ursine
urticaria	mày đay
uruguay	uruguay
us	chúng ta
usability	khả năng sử dụng
usable	sử dụng được
usage	sử dụng
usages	tập quán
usances	công dụng
use	sử dụng
useable	có thể sử dụng được
used	đã sử dụng
useful	có ích
usefully	hữu ích
usefulness	sự hữu ích
useless	vô dụng
uselessly	vô ích
uselessness	vô dụng
user	người sử dụng
userfriendliness	Người dùng thân thiện
userfriendly	thân thiện với người dùng
users	người dùng
uses	sử dụng
usher	mở ra
ushered	mở ra
usherette	giả da
ushering	mở ra
ushers	mở ra
using	sử dụng
usual	bình thường
usually	thông thường
usurer	người cho thuê
usurers	người sử dụng
usurious	tò mò
usurp	chiếm đoạt
usurpation	chiếm đoạt
usurped	chiếm đoạt
usurper	kẻ chiếm đoạt
usurping	chiếm đoạt
usury	cho vay nặng lãi
utah	utah
utensil	dụng cụ
utensils	đồ dùng
uteri	tử cung
uterine	tử cung
uterus	tử cung
utilisation	sự sử dụng
utilise	tận dụng
utilised	sử dụng
utilises	tận dụng
utilising	sử dụng
utilitarian	thực dụng
utilitarianism	thuyết vị lợi
utilitarians	người thực dụng
utilities	tiện ích
utility	tính thiết thực
utmost	hết sức
utopia	không tưởng
utopian	không tưởng
utopians	người không tưởng
utopias	không tưởng
utter	thốt ra
utterance	lời nói
utterances	lời nói
uttered	phát ngôn
utterer	người nói
uttering	thốt ra
utterly	hoàn toàn
uttermost	hết sức
utters	thốt ra
uturns	thốt ra
uvula	uvula
uvular	uvular
vacancies	vị trí tuyển dụng
vacancy	vị trí còn trống
vacant	bỏ trống
vacantly	bỏ trống
vacate	bỏ trống
vacated	bỏ trống
vacates	kỳ nghỉ
vacating	bỏ trống
vacation	kỳ nghỉ
vacations	kỳ nghỉ
vaccinate	tiêm chủng
vaccinated	tiêm chủng
vaccinating	tiêm chủng
vaccination	tiêm chủng
vaccinations	tiêm chủng
vaccine	vắc xin
vaccines	vắc-xin
vacillate	lung lay
vacillating	làm trống
vacillation	chỗ trống
vacillations	kỳ nghỉ
vacua	vacua
vacuity	chỗ trống
vacuole	không bào
vacuoles	không bào
vacuous	bỏ trống
vacuously	bỏ trống
vacuum	máy hút bụi
vacuums	máy hút bụi
vaduz	vaduz
vagabond	lang thang
vagabonds	lang thang
vagrancy	sự mơ hồ
vagrant	người lang thang
vagrants	người lang thang
vague	mơ hồ
vaguely	mơ hồ
vagueness	sự mơ hồ
vaguer	người lang thang
vaguest	mơ hồ
vain	vô ích
vainglorious	hay khoe khoang
vainglory	hư vinh
vainly	kêu căng
valance	đường diềm
valediction	định giá
valedictory	thủ khoa
valence	hóa trị
valencies	giá trị
valency	lễ tình nhân
valentine	lễ tình nhân
vales	vales
valet	người hầu
valets	người hầu
valiant	dũng cảm
valiantly	dũng cảm
valid	có giá trị
validate	xác nhận
validated	xác thực
validates	xác nhận
validating	xác nhận
validation	Thẩm định
validity	hợp lệ
validly	hợp lệ
valise	va li
valley	thung lũng
valleys	thung lũng
valour	dũng cảm
valuable	có giá trị lớn
valuables	vật có giá trị
valuation	định giá
valuations	định giá
value	giá trị
valueadded	giá trị gia tăng
valued	có giá trị
valueformoney	giá trị của đồng tiền
valueless	không có giá trị
valuer	người định giá
valuers	người định giá
values	giá trị
valuing	định giá trị
valuta	valuta
valve	van
valves	van
vamp	ma cà rồng
vamped	vamped
vamper	ma cà rồng
vamping	ma cà rồng
vampire	ma cà rồng
vampires	ma cà rồng
vamps	vamps
van	xe van
vanadium	vanadium
vandal	kẻ phá hoại
vandalise	phá hoại
vandalised	phá hoại
vandalising	phá hoại
vandalism	sự phá hoại
vandals	kẻ phá hoại
vane	cánh gạt
vaned	vaned
vanes	cánh gạt
vangogh	vangogh
vanguard	đội tiên phong
vanilla	vanilla
vanish	tan biến
vanished	biến mất
vanishes	biến mất
vanishing	biến mất
vanishingly	biến mất
vanities	phù phiếm
vanity	Tự phụ
vanquish	vanquish
vanquished	bị đánh bại
vanquishing	đánh lừa
vans	xe tải
vantage	thuận lợi
vapid	bốc hơi
vaporisation	sự hóa hơi
vaporise	bốc hơi
vaporised	bốc hơi
vaporising	bốc hơi
vaporous	bốc hơi
vapour	hơi nước
vapours	hơi
variability	sự thay đổi
variable	Biến đổi
variables	biến
variably	thay đổi
variance	phương sai
variances	phương sai
variant	khác nhau
variants	biến thể
variate	thay đổi
variates	biến thể
variation	biến thể
variational	biến dị
variations	các biến thể
varicose	giãn tĩnh mạch
varied	đa dạng
variegated	loang lổ
varies	thay đổi
varietal	giống nhau
varieties	Đẳng cấp
variety	đa dạng
various	đa dạng
variously	khác nhau
varnish	Sơn dầu
varnished	đánh vecni
varnishes	vecni
varnishing	đánh vecni
varsity	varsity
vary	thay đổi
varying	thay đổi
vascular	mạch máu
vase	lọ cắm hoa
vasectomies	thắt ống dẫn tinh
vasectomy	thắt ống dẫn tinh
vaseline	Vaseline
vases	lọ hoa
vassal	chư hầu
vassalage	chư hầu
vassals	chư hầu
vast	bao la
vaster	vaster
vastly	bao la
vastness	sự rộng lớn
vat	thùng
vatican	v Vatican
vats	thùng
vault	kho tiền
vaulted	có mái vòm
vaulting	kho tiền
vaults	hầm chứa
vaunted	ca ngợi
vaunting	ca tụng
veal	thịt bê
vector	vectơ
vectored	vectored
vectoring	vectoring
vectorisation	vectorisation
vectorised	vectorised
vectors	vectơ
veer	veer
veered	xoay vòng
veering	xoay vòng
veers	veers
veg	rau
vegan	thuần chay
vegans	người ăn chay trường
vegetable	rau quả
vegetables	rau
vegetarian	ăn chay
vegetarianism	ăn chay
vegetarians	những người ăn chay
vegetate	thực vật
vegetated	thực vật
vegetating	thực vật
vegetation	thảm thực vật
vegetational	thực vật
vegetative	thực vật
vegetive	vegetive
veggies	rau
vehemence	kịch liệt
vehement	kịch liệt
vehemently	kịch liệt
vehicle	phương tiện giao thông
vehicles	xe cộ
vehicular	xe cộ
veil	mạng che mặt
veiled	che kín mặt
veiling	che kín mặt
veils	mạng che mặt
vein	tĩnh mạch
veined	gân guốc
veins	tĩnh mạch
velar	velar
veld	veld
veldt	veldt
vellum	vellum
velocipede	vận tốc
velocities	vận tốc
velocity	vận tốc
velodrome	velodrome
velour	vằn vện
velum	velum
velvet	nhung
velveteen	mười mấy
velveteens	nhung người
velvets	nhung
velvety	mịn như nhung
venal	dể hối lộ
venality	venality
vend	nhà cung cấp
venders	người bán hàng
vendetta	nhà cung cấp
vendettas	nhà cung cấp
vending	bán hàng tự động
vendor	người bán
vendors	người bán hàng
vends	tự động
veneer	ván lạng
veneered	veneered
veneers	ván lạng
venerable	đáng kính
venerate	tôn kính
venerated	tôn kính
venerates	tôn kính
venerating	tôn kính
veneration	sự tôn kính
venereal	hoa liễu
venetian	venetian
vengeance	sự báo thù
vengeful	trả thù
vengefully	trả thù
venial	venial
venice	venice
venison	thịt nai
venom	nọc độc
venomous	có nọc độc
venomously	có nọc độc
venoms	venoms
venose	venose
venous	tĩnh mạch
vent	lỗ thông hơi
vented	thông hơi
ventilate	thông gió
ventilated	thông gió
ventilating	thông gió
ventilation	thông gió
ventilator	máy thở
ventilators	máy thở
venting	trút giận
ventings	lỗ thông hơi
ventral	bụng
ventrally	bụng
ventricle	tâm thất
ventricles	tâm thất
ventricular	tâm thất
ventriloquism	nói tiếng bụng
ventriloquist	người nói tiếng bụng
ventriloquists	người nói tiếng bụng
ventriloquy	ventriloquy
vents	lỗ thông hơi
venture	liên doanh
ventured	mạo hiểm
venturer	người mạo hiểm
ventures	liên doanh
venturesome	thích mạo hiểm
venturing	mạo hiểm
venue	hội họp
venues	địa điểm
venus	sao Kim
veracity	tính xác thực
